model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
non-monotonic_attraction,bf_00',3.60E-04,1.44E-04,1.84E-04,6.47E-04,500000,1.40E-05,5.51E-06,5,3683
similarity,bf_00',3.62E-04,4.78E-04,6.18E-05,0.001504768,60000000,1.67E-08,2.10E-08,5,3781
similarity,bf_0u,3.62E-04,4.78E-04,6.18E-05,0.001504824,60000000,1.67E-08,2.10E-08,5,3781
similarity,bf_00',3.68E-04,4.77E-04,6.82E-05,0.001507726,40000000,2.50E-08,3.02E-08,9,653
similarity,bf_0u,3.68E-04,4.77E-04,6.82E-05,0.001507822,40000000,2.50E-08,3.02E-08,9,653
non-monotonic_attraction,bf_0u,3.68E-04,1.40E-04,1.94E-04,6.47E-04,500000,1.40E-05,5.36E-06,5,2092
non-monotonic_attraction,bf_0u,3.69E-04,1.43E-04,1.89E-04,6.53E-04,500000,1.40E-05,5.44E-06,9,2582
similarity,bf_00',3.70E-04,4.76E-04,6.35E-05,0.001507853,30000000,3.33E-08,4.07E-08,5,163
similarity,bf_0u,3.70E-04,4.76E-04,6.35E-05,0.001507994,30000000,3.33E-08,4.07E-08,5,163
non-monotonic_attraction,bf_0u,3.73E-04,1.45E-04,2.00E-04,6.61E-04,500000,1.40E-05,5.45E-06,2,2423
non-monotonic_attraction,bf_0u,3.73E-04,1.43E-04,1.95E-04,6.66E-04,500000,1.40E-05,5.42E-06,2,583
non-monotonic_attraction,bf_0u,3.74E-04,1.50E-04,1.91E-04,6.72E-04,500000,1.40E-05,5.51E-06,5,3683
similarity,bf_00',3.79E-04,4.79E-04,6.03E-05,0.001475093,40000000,2.50E-08,3.07E-08,14,2376
similarity,bf_0u,3.79E-04,4.79E-04,6.03E-05,0.001475181,40000000,2.50E-08,3.07E-08,14,2376
