model,comparison,bf,se,ci.5%,ci.95%,M,prop_inside,prop_inside_se,distance,sub_n
similarity,bf_00',0.034480828,0.043029066,0.005960564,0.135999148,500000,2.00E-06,2.45E-06,9,3732
similarity,bf_00',0.034480828,0.04399172,0.005793441,0.135933631,500000,2.00E-06,2.44E-06,14,3091
similarity,bf_0u,0.034482759,0.04449179,0.006418019,0.141743616,500000,2.00E-06,2.44E-06,5,826
similarity,bf_0u,0.034482759,0.043030957,0.005960991,0.136005541,500000,2.00E-06,2.45E-06,9,3732
similarity,bf_0u,0.034482759,0.043993562,0.005793847,0.135940075,500000,2.00E-06,2.44E-06,14,3091
similarity,bf_u0,0.034521158,0.006268846,0.025786864,0.046158872,500000,0.001796,5.90E-05,2,2601
non-monotonic_attraction,bf_00',0.034645957,0.001354607,0.032493652,0.036910829,500000,0.001374,5.28E-05,5,3653
repulsion,bf_0u,0.034698206,9.07E-04,0.033249084,0.036203317,500000,0.00301,7.90E-05,9,3672
similarity,bf_u0,0.034703196,0.005838148,0.026030558,0.045132117,500000,0.00219,6.60E-05,5,1233
non-monotonic_attraction,bf_0u,0.034750462,0.00138096,0.032501842,0.037080102,500000,0.001316,5.11E-05,2,3886
non-monotonic_attraction,bf_00',0.034784698,0.001389416,0.03252463,0.037071981,500000,0.001366,5.25E-05,2,2163
non-monotonic_attraction,bf_00',0.034958822,0.00134085,0.032766761,0.037278785,500000,0.001372,5.23E-05,9,923
non-monotonic_attraction,bf_0u,0.035036728,0.001365972,0.032821522,0.037301897,500000,0.001326,5.07E-05,9,261
attraction,bf_0u,0.035123254,8.95E-04,0.033644066,0.036601172,500000,0.003052,7.72E-05,5,2183
non-monotonic_attraction,bf_00',0.035321705,0.001345505,0.033172474,0.037533,500000,0.0014,5.18E-05,9,2411
non-monotonic_attraction,bf_0u,0.03541492,0.001413631,0.033147846,0.037835962,500000,0.001352,5.24E-05,2,1963
non-monotonic_attraction,bf_00',0.035432059,0.001372528,0.033285607,0.037806068,500000,0.001402,5.28E-05,2,451
non-monotonic_attraction,bf_00',0.035483412,0.00138274,0.033210515,0.037757867,500000,0.001384,5.25E-05,5,2466
non-monotonic_attraction,bf_0u,0.035529475,0.001401951,0.033323219,0.037929497,500000,0.001332,5.12E-05,9,3273
non-monotonic_attraction,bf_00',0.035604318,0.001390353,0.033288345,0.037906881,500000,0.001394,5.30E-05,2,1773
similarity,bf_u0,0.03567681,0.006288441,0.026486475,0.047259797,500000,0.001906,6.17E-05,5,3223
similarity,bf_00',0.035712357,0.045494536,0.006760628,0.14224761,500000,2.00E-06,2.55E-06,5,682
similarity,bf_0u,0.035714286,0.045496343,0.006761251,0.142253449,500000,2.00E-06,2.55E-06,5,682
non-monotonic_attraction,bf_0u,0.035716184,0.001405679,0.033521155,0.038164791,500000,0.001344,5.14E-05,9,3482
repulsion,bf_0u,0.035798539,9.30E-04,0.034272587,0.037337913,500000,0.003126,7.90E-05,9,2893
non-monotonic_attraction,bf_00',0.035927673,0.001388172,0.033709085,0.03831628,500000,0.001402,5.30E-05,9,3743
non-monotonic_attraction,bf_0u,0.035972353,0.00140243,0.033737982,0.038315564,500000,0.001374,5.28E-05,5,3653
non-monotonic_attraction,bf_0u,0.036103182,0.001438384,0.033760933,0.038467837,500000,0.001366,5.25E-05,2,2163
repulsion,bf_0u,0.036140713,9.37E-04,0.034631636,0.037696753,500000,0.003154,7.89E-05,2,1656
non-monotonic_attraction,bf_00',0.036163731,0.001414509,0.03394982,0.038537205,500000,0.00142,5.39E-05,2,252
non-monotonic_attraction,bf_0u,0.036282858,0.001387761,0.034015741,0.038682038,500000,0.001372,5.23E-05,9,923
non-monotonic_attraction,bf_00',0.036296151,0.001384445,0.034089879,0.038597217,500000,0.001418,5.34E-05,14,341
repulsion,bf_0u,0.036308451,9.19E-04,0.034850487,0.037823563,500000,0.003182,8.02E-05,5,3583
repulsion,bf_00',0.036315672,8.72E-04,0.034935162,0.037737163,500000,0.00349,8.37E-05,5,2601
similarity,bf_00',0.036359782,0.029917488,0.01002984,0.101649739,500000,4.00E-06,3.22E-06,9,3223
similarity,bf_0u,0.036363636,0.029920112,0.010031173,0.101656883,500000,4.00E-06,3.22E-06,9,3223
similarity,bf_u0,0.036512668,0.005266647,0.029139278,0.045987406,500000,0.002684,7.25E-05,2,2411
repulsion,bf_0u,0.036542564,9.23E-04,0.035068452,0.038071913,500000,0.003186,7.88E-05,14,941
similarity,bf_00',0.036582476,0.009116341,0.02470435,0.053848669,10000000,3.00E-06,5.50E-07,14,583
similarity,bf_0u,0.036585366,0.009116698,0.024706869,0.05385233,10000000,3.00E-06,5.50E-07,14,583
non-monotonic_attraction,bf_00',0.036669515,0.001408734,0.034395794,0.039037501,500000,0.001452,5.28E-05,9,3172
non-monotonic_attraction,bf_0u,0.036672255,0.001393173,0.034439851,0.038964297,500000,0.0014,5.18E-05,9,2411
repulsion,bf_00',0.036750709,8.83E-04,0.035302293,0.038262451,500000,0.00351,8.29E-05,2,2763
similarity,bf_00',0.036762298,0.009989934,0.02380777,0.056336688,10000000,2.50E-06,5.04E-07,14,252
similarity,bf_0u,0.036764706,0.009990264,0.023810028,0.056339742,10000000,2.50E-06,5.04E-07,14,252
similarity,bf_u0,0.036773428,0.006879433,0.02693704,0.049443071,500000,0.001686,5.82E-05,2,1983
non-monotonic_attraction,bf_0u,0.036784384,0.001421106,0.034560107,0.039244716,500000,0.001402,5.28E-05,2,451
non-monotonic_attraction,bf_0u,0.036818303,0.001431011,0.0344637,0.039161327,500000,0.001384,5.25E-05,5,2466
repulsion,bf_00',0.036853846,8.88E-04,0.035446565,0.038338297,500000,0.003544,8.49E-05,5,1976
non-monotonic_attraction,bf_00',0.036893351,0.001394645,0.034621076,0.0392612,500000,0.001456,5.48E-05,2,771
non-monotonic_attraction,bf_0u,0.036948685,0.001439178,0.034567034,0.039340054,500000,0.001394,5.30E-05,2,1773
similarity,bf_u0,0.036997886,0.0063906,0.027775566,0.048928383,500000,0.001892,6.11E-05,5,241
non-monotonic_attraction,bf_00',0.037005134,0.00138665,0.034823443,0.039378949,500000,0.001462,5.34E-05,9,666
similarity,bf_00',0.037035111,0.050051092,0.005995288,0.154870298,500000,2.00E-06,2.47E-06,5,2321
similarity,bf_0u,0.037037037,0.050052961,0.005995617,0.15487801,500000,2.00E-06,2.47E-06,5,2321
repulsion,bf_0u,0.037081395,9.43E-04,0.035542165,0.03863142,500000,0.00322,8.21E-05,2,1912
repulsion,bf_00',0.037187971,9.08E-04,0.035745221,0.038709575,500000,0.003558,8.17E-05,5,2911
repulsion,bf_0u,0.03720973,9.41E-04,0.035712651,0.038769776,500000,0.00324,7.95E-05,14,2911
non-monotonic_attraction,bf_0u,0.037279302,0.001436243,0.034979396,0.039750543,500000,0.001402,5.30E-05,9,3743
similarity,bf_u0,0.037366548,0.005862969,0.028491664,0.047510076,500000,0.002248,6.66E-05,2,3886
repulsion,bf_00',0.037415866,9.11E-04,0.035916633,0.038890123,500000,0.00357,8.44E-05,5,851
repulsion,bf_0u,0.03748253,9.52E-04,0.03591957,0.039059298,500000,0.003272,8.11E-05,5,2103
non-monotonic_attraction,bf_0u,0.037532378,0.001463749,0.035242808,0.039978735,500000,0.00142,5.39E-05,2,252
non-monotonic_attraction,bf_0u,0.037662683,0.001432703,0.03537599,0.04003398,500000,0.001418,5.34E-05,14,341
non-monotonic_attraction,bf_0u,0.038068271,0.001458147,0.035711211,0.040527105,500000,0.001452,5.28E-05,9,3172
non-monotonic_attraction,bf_0u,0.038295634,0.001443527,0.035932681,0.040744385,500000,0.001456,5.48E-05,2,771
similarity,bf_00',0.038331121,0.011168135,0.024727699,0.060593854,10000000,2.30E-06,4.87E-07,14,3886
similarity,bf_0u,0.038333333,0.011168436,0.024729989,0.06059669,10000000,2.30E-06,4.87E-07,14,3886
similarity,bf_u0,0.038356164,0.006140093,0.029090929,0.049613988,500000,0.00219,6.55E-05,2,2541
non-monotonic_attraction,bf_0u,0.038413032,0.001435268,0.036154037,0.040869266,500000,0.001462,5.34E-05,9,666
non-monotonic_attraction,bf_00',0.03855651,0.001432931,0.036218066,0.040930429,500000,0.001508,5.59E-05,2,412
repulsion,bf_00',0.038559711,9.04E-04,0.037153236,0.040132445,500000,0.003686,8.61E-05,5,556
repulsion,bf_00',0.038659573,9.42E-04,0.03717173,0.04023925,500000,0.003656,8.48E-05,5,2736
similarity,bf_u0,0.038751346,0.006657599,0.029353921,0.051001121,500000,0.001858,6.06E-05,5,1493
non-monotonic_attraction,bf_00',0.038864871,0.001415846,0.036643151,0.041271387,500000,0.001546,5.53E-05,2,3172
repulsion,bf_00',0.039274648,9.25E-04,0.037791924,0.040820246,500000,0.003748,8.59E-05,2,3442
non-monotonic_attraction,bf_00',0.039304979,0.001446139,0.036940894,0.04173222,500000,0.001544,5.54E-05,14,3431
non-monotonic_attraction,bf_00',0.039529498,0.001428988,0.037283355,0.041992669,500000,0.001558,5.60E-05,9,1941
repulsion,bf_00',0.039539625,9.25E-04,0.038026563,0.041061081,500000,0.003818,8.68E-05,9,2381
similarity,bf_u0,0.03960396,0.00783046,0.028675844,0.054006211,500000,0.001414,5.35E-05,2,2333
similarity,bf_u0,0.039624609,0.006606398,0.030149093,0.052014173,500000,0.001918,6.19E-05,5,2441
repulsion,bf_00',0.039667931,9.51E-04,0.038146286,0.041254949,500000,0.003768,8.48E-05,2,3211
repulsion,bf_0u,0.03967893,9.46E-04,0.038176414,0.041226449,500000,0.00349,8.37E-05,5,2601
non-monotonic_repulsion,bf_u0,0.039721027,2.81E-04,0.039261132,0.040184383,500000,0.957226,2.83E-04,14,1201
repulsion,bf_00',0.039764593,9.47E-04,0.038236718,0.041321534,500000,0.003796,8.68E-05,5,233
similarity,bf_u0,0.039855072,0.007195385,0.029511859,0.052899574,500000,0.001656,5.68E-05,2,722
non-monotonic_attraction,bf_00',0.039873103,0.001441197,0.037561331,0.042343119,500000,0.001568,5.66E-05,9,292
similarity,bf_00',0.03999808,0.053576632,0.006576661,0.166186436,500000,2.00E-06,2.42E-06,5,1422
similarity,bf_0u,0.04,0.053578487,0.006577008,0.166195304,500000,2.00E-06,2.42E-06,5,1422
repulsion,bf_00',0.040002027,9.10E-04,0.038534122,0.041552916,500000,0.003862,8.76E-05,14,2251
non-monotonic_attraction,bf_0u,0.040006367,0.001482039,0.037588858,0.042464573,500000,0.001508,5.59E-05,2,412
repulsion,bf_00',0.040027094,9.38E-04,0.038536462,0.041625756,500000,0.003814,8.62E-05,2,1201
similarity,bf_u0,0.040106952,0.007551674,0.029122139,0.054164714,500000,0.001496,5.42E-05,5,363
similarity,bf_u0,0.040120361,0.006277293,0.030774886,0.05133508,500000,0.001994,6.34E-05,2,3211
repulsion,bf_0u,0.040131714,9.58E-04,0.038566021,0.041782675,500000,0.00351,8.29E-05,2,2763
similarity,bf_u0,0.040219378,0.008934857,0.027930042,0.057057879,500000,0.001094,4.74E-05,2,1843
similarity,bf_u0,0.040243902,0.007022626,0.030267037,0.053285178,500000,0.00164,5.90E-05,2,2223
repulsion,bf_0u,0.040267236,9.64E-04,0.038740888,0.041885956,500000,0.003544,8.49E-05,5,1976
non-monotonic_attraction,bf_0u,0.040350786,0.001465736,0.038053898,0.04283329,500000,0.001546,5.53E-05,2,3172
non-monotonic_attraction,bf_00',0.040418259,0.001445235,0.038142298,0.042872194,500000,0.00157,5.66E-05,14,3646
non-monotonic_attraction,bf_00',0.040434052,0.001488209,0.038062048,0.042986391,500000,0.00156,5.56E-05,5,851
repulsion,bf_00',0.04045891,9.36E-04,0.038983126,0.04199422,500000,0.00386,8.75E-05,2,2512
repulsion,bf_00',0.040506037,9.56E-04,0.038974118,0.042073607,500000,0.003842,8.66E-05,14,771
non-monotonic_attraction,bf_00',0.040539557,0.001476472,0.038177959,0.043000438,500000,0.001596,5.56E-05,9,42
similarity,bf_u0,0.040540541,0.005978411,0.031961817,0.051630378,500000,0.00222,6.70E-05,2,532
non-monotonic_repulsion,bf_u0,0.04056903,2.87E-04,0.040086968,0.041037187,500000,0.93633,3.46E-04,14,2501
repulsion,bf_0u,0.040613657,9.85E-04,0.03904483,0.042266344,500000,0.003558,8.17E-05,5,2911
non-monotonic_attraction,bf_0u,0.040788292,0.001495846,0.038341327,0.043305802,500000,0.001544,5.54E-05,14,3431
repulsion,bf_0u,0.040852291,9.88E-04,0.039223181,0.042447337,500000,0.00357,8.44E-05,5,851
similarity,bf_u0,0.040983607,0.008498737,0.029197201,0.056736803,500000,0.00122,4.97E-05,2,3653
non-monotonic_attraction,bf_0u,0.041025911,0.001478681,0.038702553,0.043566317,500000,0.001558,5.60E-05,9,1941
non-monotonic_repulsion,bf_00',0.041072652,0.001480217,0.038692737,0.043582099,500000,0.001612,5.77E-05,2,631
repulsion,bf_00',0.041123168,9.79E-04,0.039538376,0.042768647,500000,0.003896,8.81E-05,14,3372
non-monotonic_attraction,bf_0u,0.041378582,0.001491239,0.038994672,0.043926908,500000,0.001568,5.66E-05,9,292
similarity,bf_u0,0.041387025,0.006978206,0.031224363,0.054265755,500000,0.001788,5.95E-05,5,1313
non-monotonic_repulsion,bf_u0,0.041396873,3.03E-04,0.04091448,0.041893154,500000,0.90316,4.19E-04,14,3202
non-monotonic_attraction,bf_00',0.041534395,0.001493006,0.039102664,0.044068453,500000,0.001614,5.71E-05,9,2763
non-monotonic_attraction,bf_00',0.041627375,0.001505926,0.039237749,0.044151756,500000,0.001628,5.65E-05,9,1313
similarity,bf_00',0.04166475,0.055011056,0.007257722,0.167317754,500000,2.00E-06,2.51E-06,2,3792
similarity,bf_u0,0.041666667,0.007086356,0.031264698,0.054790769,500000,0.001776,5.95E-05,2,3131
similarity,bf_0u,0.041666667,0.055012814,0.007258163,0.167323054,500000,2.00E-06,2.51E-06,2,3792
similarity,bf_u0,0.041736227,0.006108363,0.032668081,0.052539825,500000,0.002396,6.98E-05,2,3153
non-monotonic_attraction,bf_00',0.041806912,0.001504793,0.039321147,0.044292275,500000,0.001636,5.77E-05,9,3286
non-monotonic_repulsion,bf_00',0.041827267,0.001458894,0.039426253,0.044227818,500000,0.001644,5.73E-05,14,3383
non-monotonic_attraction,bf_0u,0.041924802,0.001494357,0.039555595,0.044465429,500000,0.00157,5.66E-05,14,3646
non-monotonic_attraction,bf_0u,0.041930975,0.001538894,0.039477689,0.044569555,500000,0.00156,5.56E-05,5,851
non-monotonic_repulsion,bf_u0,0.041931439,2.92E-04,0.041468081,0.042409087,500000,0.89322,4.39E-04,9,2593
non-monotonic_attraction,bf_00',0.041957171,0.001482364,0.039566193,0.044455131,500000,0.001636,5.69E-05,5,301
similarity,bf_u0,0.041968162,0.007846919,0.030559031,0.05626812,500000,0.001382,5.31E-05,2,2933
non-monotonic_attraction,bf_0u,0.042070856,0.001527597,0.039625569,0.044615121,500000,0.001596,5.56E-05,9,42
repulsion,bf_0u,0.04210358,9.80E-04,0.040582471,0.043806153,500000,0.003686,8.61E-05,5,556
similarity,bf_u0,0.042121685,0.008363859,0.030649119,0.057840629,500000,0.001282,5.08E-05,2,3602
repulsion,bf_0u,0.042174234,0.001020806,0.040560111,0.043880969,500000,0.003656,8.48E-05,5,2736
repulsion,bf_00',0.042189374,9.92E-04,0.040582323,0.043843321,500000,0.004018,8.93E-05,14,1023
non-monotonic_attraction,bf_00',0.042349716,0.001514685,0.039976994,0.044920062,500000,0.001648,5.71E-05,9,3082
similarity,bf_u0,0.042505593,0.007275697,0.031677196,0.055992762,500000,0.001788,5.86E-05,2,2752
non-monotonic_attraction,bf_00',0.042555639,0.001536387,0.040142335,0.045185691,500000,0.001656,5.74E-05,9,3501
non-monotonic_repulsion,bf_0u,0.042618443,0.001530955,0.040164123,0.045213854,500000,0.001612,5.77E-05,2,631
non-monotonic_repulsion,bf_u0,0.042640879,3.06E-04,0.04213649,0.043143746,500000,0.890976,4.36E-04,14,3153
non-monotonic_attraction,bf_00',0.042676809,0.001461103,0.040277937,0.045120662,500000,0.00168,5.84E-05,14,1351
non-monotonic_repulsion,bf_u0,0.042800813,3.12E-04,0.042288446,0.043305821,500000,0.879516,4.56E-04,14,1762
repulsion,bf_0u,0.042875446,0.001001276,0.041259723,0.044543654,500000,0.003748,8.59E-05,2,3442
repulsion,bf_00',0.042984269,9.85E-04,0.041435856,0.044647061,500000,0.004076,9.07E-05,9,1843
non-monotonic_attraction,bf_00',0.04302707,0.001541124,0.040561424,0.045625935,500000,0.001672,5.81E-05,14,312
non-monotonic_attraction,bf_0u,0.043081358,0.001543573,0.040571085,0.045704185,500000,0.001614,5.71E-05,9,2763
non-monotonic_attraction,bf_00',0.04317631,0.001501444,0.040757944,0.045756015,500000,0.001716,5.77E-05,2,371
non-monotonic_attraction,bf_0u,0.043187606,0.001557382,0.04072474,0.045802239,500000,0.001628,5.65E-05,9,1313
repulsion,bf_0u,0.043206663,0.001002372,0.041563023,0.044851043,500000,0.003818,8.68E-05,9,2381
repulsion,bf_0u,0.043286463,0.001029215,0.041628766,0.045007489,500000,0.003768,8.48E-05,2,3211
non-monotonic_repulsion,bf_u0,0.04335944,3.15E-04,0.042837708,0.043878106,500000,0.867216,4.75E-04,14,3286
non-monotonic_attraction,bf_0u,0.043374516,0.001556323,0.04080066,0.045938511,500000,0.001636,5.77E-05,9,3286
non-monotonic_repulsion,bf_0u,0.043402503,0.001508681,0.040919688,0.045874474,500000,0.001644,5.73E-05,14,3383
repulsion,bf_0u,0.043409647,0.00102613,0.041759906,0.045098868,500000,0.003796,8.68E-05,5,233
repulsion,bf_00',0.043508942,9.62E-04,0.041978093,0.045121696,500000,0.004156,9.11E-05,9,642
non-monotonic_attraction,bf_0u,0.043524529,0.001532641,0.041051866,0.046109614,500000,0.001636,5.69E-05,5,301
non-monotonic_attraction,bf_00',0.043541104,0.001525613,0.04115275,0.046164306,500000,0.001724,6.01E-05,5,1172
non-monotonic_repulsion,bf_u0,0.043559417,3.15E-04,0.043052757,0.0440825,500000,0.87003,4.75E-04,14,2712
similarity,bf_u0,0.043624161,0.00903548,0.03078261,0.060227568,500000,0.001192,4.88E-05,2,1936
repulsion,bf_0u,0.043688431,0.001016021,0.042069567,0.045419594,500000,0.003814,8.62E-05,2,1201
repulsion,bf_0u,0.043709539,9.88E-04,0.042120274,0.045391869,500000,0.003862,8.76E-05,14,2251
similarity,bf_u0,0.043715847,0.006946775,0.033195377,0.05608626,500000,0.00183,6.08E-05,2,3902
non-monotonic_repulsion,bf_u0,0.043729492,3.12E-04,0.04321035,0.044236984,500000,0.856996,4.89E-04,9,3153
non-monotonic_attraction,bf_00',0.043845571,0.001537304,0.041441566,0.046501791,500000,0.001718,5.83E-05,2,2911
non-monotonic_attraction,bf_00',0.043890878,0.001531865,0.041360927,0.046468721,500000,0.00174,5.87E-05,2,2933
non-monotonic_attraction,bf_0u,0.043927924,0.001566237,0.041470153,0.0465883,500000,0.001648,5.71E-05,9,3082
non-monotonic_attraction,bf_00',0.044007822,0.001533945,0.041529121,0.046559887,500000,0.001702,5.81E-05,5,1286
non-monotonic_attraction,bf_0u,0.044141166,0.00158871,0.041649714,0.046865794,500000,0.001656,5.74E-05,9,3501
repulsion,bf_0u,0.044162739,0.001013806,0.042554623,0.04583011,500000,0.00386,8.75E-05,2,2512
repulsion,bf_0u,0.044192413,0.00103602,0.042527684,0.045879636,500000,0.003842,8.66E-05,14,771
non-monotonic_attraction,bf_0u,0.044285112,0.001511196,0.041796793,0.046802531,500000,0.00168,5.84E-05,14,1351
similarity,bf_u0,0.044285714,0.008377111,0.032622414,0.059647256,500000,0.0014,5.37E-05,5,2981
non-monotonic_attraction,bf_00',0.044293137,0.001530751,0.04182151,0.046825224,500000,0.001748,5.89E-05,2,596
non-monotonic_attraction,bf_00',0.044349563,0.001526248,0.041916377,0.046933102,500000,0.001738,5.83E-05,9,862
similarity,bf_00',0.044442151,0.013288528,0.028149623,0.070278567,10000000,2.40E-06,4.86E-07,14,2612
similarity,bf_0u,0.044444444,0.013288815,0.028151444,0.070280966,10000000,2.40E-06,4.86E-07,14,2612
similarity,bf_u0,0.044529262,0.007899922,0.033013047,0.059067215,500000,0.001572,5.54E-05,2,241
non-monotonic_repulsion,bf_u0,0.044531021,3.21E-04,0.044023447,0.045080696,500000,0.844984,5.06E-04,14,3361
non-monotonic_attraction,bf_0u,0.044627129,0.001593286,0.042075487,0.047313568,500000,0.001672,5.81E-05,14,312
similarity,bf_u0,0.044795784,0.008022634,0.033275888,0.059492553,500000,0.001518,5.61E-05,2,1463
non-monotonic_attraction,bf_0u,0.04481822,0.001553926,0.042313041,0.047464815,500000,0.001716,5.77E-05,2,371
repulsion,bf_0u,0.044858952,0.001060519,0.043147251,0.046640815,500000,0.003896,8.81E-05,14,3372
non-monotonic_repulsion,bf_u0,0.044912135,3.29E-04,0.044355239,0.045435601,500000,0.836166,5.26E-04,14,3683
non-monotonic_repulsion,bf_u0,0.044925065,3.23E-04,0.044391038,0.045469745,500000,0.835124,5.18E-04,9,2693
non-monotonic_attraction,bf_00',0.044938338,0.001531132,0.04246775,0.04752155,500000,0.001762,5.86E-05,9,233
non-monotonic_repulsion,bf_u0,0.04501139,3.17E-04,0.044496303,0.045544645,500000,0.841076,5.18E-04,14,3142
non-monotonic_attraction,bf_0u,0.045190039,0.001578202,0.04272126,0.047900087,500000,0.001724,6.01E-05,5,1172
non-monotonic_repulsion,bf_u0,0.045265289,3.26E-04,0.044735326,0.045799037,500000,0.833884,5.30E-04,14,3661
non-monotonic_attraction,bf_00',0.045267565,0.001557811,0.042766631,0.047921617,500000,0.001782,5.94E-05,5,2681
non-monotonic_repulsion,bf_u0,0.045337343,3.24E-04,0.044822039,0.045890624,500000,0.835382,5.26E-04,14,2886
similarity,bf_u0,0.045385779,0.008620133,0.033307155,0.06132663,500000,0.001322,5.14E-05,2,2276
similarity,bf_00',0.045450727,0.037830884,0.014130214,0.131638178,500000,4.00E-06,3.18E-06,5,2672
similarity,bf_u0,0.045454545,0.007666773,0.034368188,0.059295055,500000,0.001584,5.72E-05,2,1541
similarity,bf_0u,0.045454545,0.037833389,0.014131402,0.131647215,500000,4.00E-06,3.18E-06,5,2672
non-monotonic_repulsion,bf_u0,0.045466507,3.22E-04,0.044935927,0.045988884,500000,0.82078,5.51E-04,14,612
non-monotonic_repulsion,bf_u0,0.04548049,3.16E-04,0.044950048,0.045988906,500000,0.84445,5.17E-04,14,2036
non-monotonic_attraction,bf_0u,0.045488244,0.001589493,0.042995196,0.048243679,500000,0.001718,5.83E-05,2,2911
