sub_n,distance,model,obs,pred,ppp
241,5,attraction,4.846233903040993,4.9813617367746055,0.5182036407281456
252,5,attraction,6.667904631332384,5.0107310015545465,0.33504700940188037
261,5,attraction,4.180003896838026,5.012018399930727,0.5981396279255852
273,5,attraction,5.910721754531742,5.015732073412886,0.4213242648529706
282,5,attraction,4.4035749224520115,4.982520034732412,0.5669333866773355
292,5,attraction,4.5387944874199695,4.963735297400749,0.5350670134026806
301,5,attraction,4.740907501963097,5.003616911087079,0.5368673734746949
312,5,attraction,7.456975789059502,4.997660360276461,0.2775355071014203
323,5,attraction,4.475203005574621,4.99361256470511,0.5614322864572915
336,5,attraction,6.122595163244537,4.996826587586924,0.39857971594318864
341,5,attraction,4.399801162094975,4.998194580573425,0.5749749949989998
352,5,attraction,4.612747414287828,5.008640723474458,0.5534706941388278
363,5,attraction,4.1609571035876725,5.003370009968077,0.5983196639327866
371,5,attraction,4.429573486572695,5.0020785658193425,0.5660732146429286
382,5,attraction,4.783458213492104,5.00383935093234,0.5084616923384677
393,5,attraction,4.905577633567127,4.99558616908254,0.5197239447889578
401,5,attraction,3.9738808668402865,4.985252257761536,0.6175635127025405
412,5,attraction,4.410164791995952,5.009882839266627,0.5691338267653531
423,5,attraction,8.15543308395056,4.994956745677751,0.2330866173234647
436,5,attraction,4.389363362087002,4.99711293103153,0.5746949389877976
